工	a
轱	ldg
軲	ldg
因	ldi
恩	ldn
畸	lds
畴	ldt
畎	ldy
軑	ldy
轪	ldy
胃	lef
䢁	leg
圂	lei
罢	lfc
畦	lff
轩	lfh
団	lfi
䍐	lfj
辕	lfk
转	lfn
黑	lfo
园	lfq
团	lft
囤	lgb
囯	lgd
畏	lge
軖	lgg
辐	lgk
辆	lgm
车	lgn
国	lgy
罪	lhd
罩	lhj
㐃	lhk
皿	lhn
囦	lii
眔	liu
軣	liu
辊	ljx
辑	lkb
驾	lkc
回	lkd
軎	lkf
加	lkg
甽	lkh
䡅	lkh
贺	lkm
架	lks
㘞	lle
畕	llf
䡒	llg
䡛	llh
㘡	llk
田	lll
男	llr
㽖	llt
䡃	llt
轴	lmg
軕	lmh
䡄	lmn
辗	lna
囙	lnd
翈	lng
轧	lnn
劜	lnn
力	lnt
思	lnu
䍘	lou
边	lpe
连	lpk
蜀	lqj
逻	lqp
罗	lqu
软	lqw
鸭	lqy
堑	lrf
斩	lrh
暂	lrj
町	lsh
困	lsi
甼	lsj
䍒	lsu
轿	ltd
囷	lti
略	ltk
图	ltu
畋	lty
圈	lud
畔	luf
䢂	lug
较	luq
囡	lvd
㚻	lvf
轨	lvn
输	lwg
办	lwi
囚	lwi
界	lwj
轮	lwx
㽗	lwy
累	lxi
毗	lxx
辙	lyc
圁	lyd
詈	lyf
罚	lyj
曲	mad
嵌	maf
㞬	maf
屸	mag
典	maw
戝	may
㕀	mbb
㞨	mbg
邮	mbh
邖	mbh
郥	mbh
䢳	mbh
貤	mbn
岜	mcb
凤	mci
禸	mci
殳	mcu
峻	mcw
贿	mde
岩	mdf
岵	mdg
央	mdi
盎	mdl
炭	mdo
鸯	mdq
屵	mdr
崎	mds
髓	med
崩	mee
骨	mef
胄	mef
岄	meg
㞧	mer
屷	met
骸	mey
冉	mfd
冃	mfd
冄	mfd
峙	mff
亗	mff
屽	mfh
周	mfk
赎	mfn
财	mft
赋	mga
同	mgk
屿	mgn
峡	mgu
贱	mgy
凪	mhd
幅	mhg
帽	mhj
巾	mhk
帆	mhm
冂	mhn
帕	mhr
帐	mht
幢	mhu
峭	mie
汖	miu
㞱	mjf
则	mjh
赐	mjq
岿	mjv
冋	mkd
岬	mlh
崭	mlr
屴	mlr
峀	mmf
岫	mmg
屾	mmh
岀	mmj
山	mmm
㞦	mmn
岗	mmq
婴	mmv
賏	mmy
岂	mnb
㐕	mnb
凯	mnm
屺	mnn
乢	mnn
囘	mnv
㶡	moi
迪	mpd
廸	mpd
崇	mpf
贮	mpg
䢙	mpi
辿	mpk
㞫	mpu
见	mqb
购	mqc
赡	mqd
崟	mqf
崯	mqg
风	mqi
冈	mqi
罓	mqi
刚	mqj
网	mqq
岁	mqu
贩	mrc
凰	mrg
岶	mrg
岓	mrh
凩	msi
剁	msj
朵	msu
账	mta
峰	mtd
赂	mtk
几	mtn
贬	mtp
峨	mtr
巍	mtv
败	mty
岦	muf
峷	muj
赔	muk
赠	mul
赚	muv
屶	mvr
赊	mwf
内	mwi
㞤	mwu
肉	mww
崔	mwy
幽	mxx
丹	myd
彤	mye
赃	myf
訔	myf
凡	myi
㞵	myu
㞶	myy
展	nae
羾	nag
异	naj
羿	naj
屉	nan
懂	nat
民	nav
殿	naw
慌	nay
慑	nbc
㞌	nbd
邔	nbh
䣁	nbh
屈	nbm
忚	nbn
敢	nbt
惨	ncd
怪	ncf
㞋	nci
㞎	ncv
惰	nda
居	ndd
怙	ndg
剧	ndj
怖	ndm
忧	ndn
恢	ndo
忕	ndy
愤	nfa
层	nfc
恃	nff
慎	nfh
忓	nfh
慰	nfi
屚	nfi
卂	nfk
迅	nfp
屠	nft
导	nfu
忖	nfy
屋	ngc
刁	ngd
情	nge
䍿	ngf
忹	ngg
怔	ngh
怀	ngi
恒	ngj
司	ngk
眉	nhd
⺪	nhd
疋	nhi
蛋	nhj
丩	nhk
收	nht
惧	nhw
疏	nhy
悄	nie
尿	nii
氹	nii
恍	niq
犀	nir
悍	njf
慢	njl
惕	njq
惺	njt
吢	nkf
辟	nku
翼	nla
乪	nld
屇	nld
怬	nlg
惭	nlr
忇	nlt
届	nmd
恫	nmg
怞	nmg
刷	nmh
屃	nmi
屓	nmi
㞯	nmj
凥	nmv
己	nng
书	nnh
局	nnk
乙	nnl
忆	nnn
忋	nnn
忌	nnu
乜	nnv
快	nnw
羽	nny
㤈	nny
屎	noi
屡	nov
迉	npe
忱	npq
懈	nqe
惍	nqg
怕	nrg
忻	nrh
愧	nrq
恓	nsg
忊	nsh
杘	nsi
悸	ntb
发	ntc
恬	ntd
必	nte
尾	ntf
性	ntg
虱	ntj
属	ntk
恤	ntl
懊	ntm
履	ntt
悔	ntx
改	nty
攺	nty
屏	nua
习	nud
㞐	nud
翌	nuf
翋	nug
㥃	nug
飞	nui
惮	nuj
悦	nuk
屖	nuk
憎	nul
悯	nuy
慨	nvc
恨	nve
妀	nvg
忉	nvt
尻	nvv
戮	nwe
恰	nwg
乆	nwi
夬	nwi
惟	nwy
惯	nxf
憴	nxg
尼	nxv
屁	nxx
恼	nyb
惦	nyh
尺	nyi
乄	nyi
㣺	nyi
昼	nyj
忙	nyn
迟	nyp
㤃	nyt
尽	nyu
慷	nyv
以	nyw
忟	nyy
煤	oaf
灴	oag
䉺	oag
灷	oaj
炬	oan
烧	oat
烘	oaw
籽	obg
邩	obh
灺	obn
烃	oca
粑	ocn
糊	ode
炻	odg
䊀	odg
烦	odm
类	odu
粗	oeg
㶲	oeh
烼	oey
糯	ofd
灶	ofg
籵	ofh
㶥	ofh
烤	oft
籿	ofy
业	ogd
精	oge
粳	ogj
炳	ogm
凿	ogu
粘	ohk
炒	oit
爆	oja
焊	ojf
灲	ojh
烛	ojy
燥	okk
炽	okw
烟	old
畨	olf
畑	olg
炠	olh
粙	omg
灿	omh
籼	omh
籶	omn
㐘	onb
断	onr
炔	onw
烬	ony
火	ooo
炎	oou
炏	ooy
烷	opf
迷	opi
熔	opw
灮	oqb
燃	oqd
烁	oqi
焕	oqm
炮	oqn
焰	oqv
炊	oqw
灼	oqy
㶤	oqy
粕	org
炘	orh
䉼	orh
粞	osg
灯	osh
炑	osy
烽	otd
糙	otf
炸	oth
烙	otk
敉	oty
炇	oty
秌	oty
料	ouf
粒	oug
焙	ouk
㶢	ovb
娄	ovf
籹	ovg
数	ovt
灱	ovt
烩	owf
粉	owv
炕	oym
炉	oyn
米	oyt
粮	oyv
粹	oyw
炆	oyy
宦	pah
寞	paj
宽	pam
字	pbf
㝋	pbj
㝊	pcu
宏	pdc
寡	pde
宕	pdf
㝒	pdf
害	pdh
寄	pds
宊	pdu
宠	pdx
肎	pef
宜	peg
农	pei
家	peu
宗	pfi
寒	pfj
完	pfq
守	pfu
室	pgc
宇	pgf
㝉	pgf
定	pgh
宣	pgj
富	pgk
寅	pgm
写	pgn
宝	pgy
寂	phi
官	phn
㓀	phu
宵	pie
㲾	piu
幂	pjd
审	pjh
寓	pjm
宴	pjv
宫	pkk
军	plj
冗	pmb
宂	pmb
宙	pmf
冚	pmj
寐	pnh
密	pnt
寥	pnw
廴	pny
灾	pou
冞	pou
宩	pou
之	ppp
㝎	ppu
宛	pqb
⺳	pqb
冤	pqk
冘	pqv
宾	prg
牢	prh
宁	psj
宋	psu
宅	pta
宪	ptf
客	ptk
实	pud
衫	pue
衬	puf
袜	pug
补	puh
衤	pui
宰	puj
袖	pum
袍	puq
襟	pus
袄	put
宍	puu
初	puv
裕	puw
裤	puy
宄	pvb
安	pvf
案	pvs
空	pwa
窿	pwb
突	pwd
罕	pwf
窒	pwg
窜	pwk
穷	pwl
帘	pwm
窟	pwn
窑	pwr
窗	pwt
穴	pwu
㓁	pwu
究	pwv
容	pww
鹤	pwy
它	pxb
宆	pxb
祁	pyb
祷	pyd
祖	pye
社	pyf
㝘	pyf
福	pyg
礻	pyi
神	pyj
祝	pyk
视	pym
冖	pyn
祈	pyr
㝑	pyr
祥	pyu
禄	pyv
钳	qaf
釭	qag
错	qaj
锚	qal
氏	qav
釴	qay
鈛	qay
镊	qbc
铒	qbg
釨	qbg
钌	qbh
卬	qbh
夘	qbh
邜	qbh
凶	qbk
锰	qbl
怨	qbn
夗	qbn
釶	qbn
迎	qbp
鸳	qbq
色	qcb
勾	qci
钯	qcn
鎷	qcy
危	qdb
钴	qdg
鉐	qdg
希	qdm
然	qdo
厃	qdr
铸	qdt
镣	qdu
詹	qdw
釱	qdy
钥	qeg
鈅	qeg
角	qej
钐	qet
釢	qet
解	qev
钍	qfg
针	qfh
㚈	qfh
镭	qfl
锗	qft
印	qgb
铺	qge
鱼	qgf
钙	qgh
鲁	qgj
鳃	qgl
鳞	qgo
鲍	qgq
鲜	qgu
钱	qgy
䀏	qhd
钼	qhg
䤠	qhg
亇	qhj
钻	qhk
外	qhy
钋	qhy
销	qie
乐	qii
兆	qii
锁	qim
逃	qip
钞	qit
尔	qiu
淾	qiu
釥	qiy
旬	qjd
鈤	qjg
钊	qjh
刈	qjh
龟	qjn
锡	qjq
鉵	qjy
句	qkd
象	qke
名	qkf
钏	qkh
铝	qkk
锅	qkm
免	qkq
甸	qld
钿	qlg
钾	qlh
链	qlp
锣	qlq
釛	qlt
铀	qmg
铡	qmj
铅	qmk
釠	qmn
钢	qmq
负	qmu
钠	qmw
钡	qmy
饶	qna
饣	qnb
锯	qnd
馁	qne
乌	qng
䦀	qng
钮	qnh
蚀	qnj
馈	qnk
饥	qnm
钇	qnn
钆	qnn
釲	qnn
馆	qnp
饮	qnq
饭	qnr
饿	qnt
饼	qnu
㣻	qnu
包	qnv
鈊	qny
匊	qoi
灳	qoi
炙	qou
钬	qoy
銤	qoy
锭	qpg
匈	qqb
鍂	qqg
匁	qqi
匇	qqi
铭	qqk
钨	qqn
铆	qqt
多	qqu
爻	qqu
钦	qqw
釸	qqy
勿	qre
铂	qrg
釿	qrh
锦	qrm
忽	qrn
锨	qrq
铁	qrw
匆	qry
钵	qsg
钉	qsh
刹	qsj
杀	qsu
鈢	qsy
猎	qta
锋	qtd
犭	qte
钎	qtf
狂	qtg
镍	qth
独	qtj
铬	qtk
猾	qtm
儿	qtn
勹	qtn
⺈	qtn
锹	qto
狞	qtp
狗	qtq
狐	qtr
狡	qtu
狠	qtv
猴	qtw
狼	qty
乂	qty
鉌	qty
㐅	qty
匀	qud
镁	qug
鉝	qug
锌	quh
镜	quj
锐	quk
钔	qun
镑	qup
铰	quq
铲	qut
锑	qux
邹	qvb
银	qve
刍	qvf
臽	qvf
钕	qvg
争	qvh
急	qvn
釚	qvn
煞	qvt
釖	qvt
勼	qvv
雏	qvw
锻	qwd
勽	qwi
欠	qwu
锥	qwy
釟	qwy
匂	qxv
镀	qya
訇	qyd
铱	qye
䚻	qyf
久	qyi
勺	qyi
夊	qyi
镶	qyk
镐	qym
灸	qyo
钫	qyt
贸	qyv
鈫	qyy
拭	raa
皂	rab
撕	rad
撒	rae
扛	rag
措	raj
描	ral
拒	ran
捞	rap
抠	raq
拱	raw
找	ray
报	rbc
挕	rbg
邤	rbh
㧄	rbh
拯	rbi
拙	rbm
扡	rbn
抒	rcb
掇	rcc
掺	rcd
捅	rce
择	rcf
反	rci
抬	rck
把	rcn
皅	rcn
返	rcp
挨	rct
㿝	rcu
摊	rcw
瓜	rcy
払	rcy
扼	rdb
拔	rdc
振	rdf
拓	rdg
扰	rdn
挞	rdp
撩	rdu
㚖	rdu
捧	rdw
拢	rdx
㧋	rdy
援	ref
抈	reg
拥	reh
授	rep
摇	rer
扔	ret
技	rfc
持	rff
扗	rfg
盾	rfh
皁	rfj
擂	rfl
质	rfm
挝	rfp
抚	rfq
拷	rft
扶	rfw
邱	rgb
丘	rgd
捕	rge
皇	rgf
抂	rgg
后	rgk
岳	rgm
抹	rgs
乒	rgt
挟	rgu
捷	rgv
兵	rgw
乓	rgy
掳	rha
卸	rhb
披	rhc
排	rhd
看	rhf
扯	rhg
攫	rhh
掉	rhj
牛	rhk
扑	rhy
捎	rie
朱	rii
撑	rip
抄	rit
泉	riu
挡	riv
撮	rjb
捍	rjf
担	rjg
抇	rjg
拽	rjn
揭	rjq
揽	rjt
揖	rkb
捐	rke
扣	rkg
捉	rkh
操	rkk
拐	rkl
损	rkm
摆	rlf
畠	rlf
舞	rlg
押	rlh
捙	rlh
捆	rls
撂	rlt
劤	rlt
劧	rlt
劰	rlt
缸	rma
投	rmc
揣	rmd
抽	rmg
帛	rmh
缶	rmk
缺	rmn
摧	rmw
抿	rna
气	rnb
氢	rnc
据	rnd
氖	rne
握	rng
挧	rng
䎅	rng
扭	rnh
扎	rnn
癿	rnn
氮	rno
氨	rnp
扬	rnr
拨	rnt
氛	rnw
氟	rnx
拟	rny
抋	rny
搂	rov
迫	rpd
廹	rpd
皖	rpf
近	rpk
挥	rpl
摈	rpr
拧	rps
按	rpv
控	rpw
抵	rqa
抑	rqb
皃	rqb
鬼	rqc
捦	rqg
挑	rqi
拘	rqk
换	rqm
抱	rqn
掏	rqr
掐	rqv
欣	rqw
的	rqy
扳	rrc
拍	rrg
㿟	rrg
折	rrh
抙	rrh
斦	rrh
哲	rrk
逝	rrp
掀	rrq
白	rrr
拆	rry
拪	rsg
打	rsh
托	rta
拖	rtb
括	rtd
搬	rte
插	rtf
手	rtg
揪	rto
斤	rtt
⺁	rtt
敀	rty
拼	rua
搓	rud
拦	ruf
拉	rug
撞	ruj
摘	rum
扪	run
搁	rut
接	ruv
挪	rvf
扫	rvg
㧮	rvg
搜	rvh
招	rvk
抛	rvl
殷	rvn
扏	rvn
㧅	rvt
执	rvy
抢	rwb
拴	rwg
失	rwi
迭	rwp
㒵	rwu
扮	rwv
挫	rww
抡	rwx
扒	rwy
皀	rxb
指	rxj
㧈	rxn
批	rxx
拇	rxy
撤	ryc
拄	ryg
掂	ryh
斥	ryi
挤	ryj
攘	ryk
擅	ryl
搞	rym
护	ryn
扩	ryt
㧍	ryt
搪	ryv
掖	ryw
摔	ryx
械	saa
棋	sad
柑	saf
杢	saf
杠	sag
栋	sai
模	saj
横	sam
柜	san
檬	sap
枢	saq
杙	say
椰	sbb
椭	sbd
李	sbf
杍	sbg
栮	sbg
邒	sbh
䢶	sbh
杝	sbn
桶	sce
树	scf
杩	scg
杷	scn
梭	scw
权	scy
枯	sdg
柘	sdg
㭅	sdg
楔	sdh
顶	sdm
椅	sds
梆	sdt
䙲	sdu
棒	sdw
杖	sdy
杕	sdy
枤	sdy
棚	see
枂	seg
杉	set
㭁	set
极	sey
㭬	sey
枝	sfc
桂	sff
垔	sff
杜	sfg
杆	sfh
标	sfi
桔	sfk
材	sft
棱	sfw
村	sfy
醋	sga
酸	sgc
本	sgd
酉	sgd
酝	sgf
枉	sgg
丁	sgh
杯	sgi
醒	sgj
梧	sgk
柄	sgm
配	sgn
醚	sgo
酌	sgq
酚	sgw
栈	sgy
相	shg
杫	shg
椒	shi
想	shn
朴	shy
梢	sie
档	siv
㭂	siy
杳	sjf
查	sjg
覃	sjj
棵	sjs
槛	sjt
棍	sjx
可	skd
杏	skf
杊	skh
哥	sks
㭗	slf
柶	slg
柙	slh
枷	slk
朸	slt
楞	sly
柚	smg
杣	smh
栅	smm
机	smn
枫	smq
贾	smu
梖	smy
朰	snb
㐉	snb
栩	sng
札	snn
杞	snn
杨	snr
杺	sny
杰	sou
粟	sou
䙳	sou
楼	sov
廼	spd
棕	spf
棺	sph
枕	spq
柠	sps
榨	spw
构	sqc
桅	sqd
桃	sqi
攀	sqq
柳	sqt
榴	sqy
板	src
柏	srg
析	srh
杽	srh
株	sri
棉	srm
槐	srq
檄	sry
郴	ssb
彬	sse
禁	ssf
栖	ssg
朾	ssh
柯	ssk
楚	ssn
焚	sso
梦	ssq
森	sss
栗	ssu
婪	ssv
林	ssy
桥	std
橇	stf
柞	sth
格	stk
覆	stt
䅇	stu
梅	stx
枚	sty
柇	sty
样	sud
栏	suf
柆	sug
椚	sug
梓	suh
樟	suj
榜	sup
校	suq
梯	sux
概	svc
根	sve
要	svf
桕	svg
朹	svn
朷	svt
枪	swb
松	swc
栓	swg
朲	swy
朳	swy
椽	sxe
朼	sxn
杛	sxn
楷	sxx
㭃	sxy
梳	syc
桩	syf
柱	syg
术	syi
檀	syl
杭	sym
述	syp
枋	syt
榔	syv
箕	tad
笁	taf
筐	tag
升	tak
筑	tam
䇝	tau
乇	tav
长	tay
䄩	tay
竾	tbb
㐌	tbb
季	tbf
䇯	tbf
秄	tbg
䄦	tbh
彵	tbn
䄬	tbn
径	tca
笆	tcb
笃	tcf
么	tcu
私	tcy
矩	tda
舌	tdd
䇢	tdf
短	tdg
秙	tdg
䄷	tdg
逢	tdh
夭	tdi
乔	tdj
知	tdk
乱	tdn
适	tdp
敌	tdt
矢	tdu
笼	tdx
㣕	tdy
租	teg
䄴	teg
舟	tei
甪	tek
盘	tel
般	tem
透	tep
秀	ter
㣊	ter
艇	tet
䄧	tet
稻	tev
舱	tew
航	tey
垂	tfa
丢	tfc
壬	tfd
⺧	tfd
竺	tff
玍	tff
秆	tfh
午	tfj
竿	tfj
千	tfk
德	tfl
毛	tfn
迁	tfp
先	tfq
生	tgd
彺	tgg
征	tgh
重	tgj
衙	tgk
熏	tgl
策	tgm
笺	tgu
秉	tgv
算	tha
彼	thc
自	thd
乍	thf
䇛	thf
片	thg
䄳	thg
处	thi
咎	thk
鼻	thl
息	thn
延	thp
稍	tie
衍	tif
簿	tig
乑	tii
箔	tir
秒	tit
尓	tiu
香	tjf
得	tjg
利	tjh
犁	tjr
梨	tjs
复	tjt
䖝	tju
各	tkf
㕿	tkf
和	tkg
种	tkh
禹	tkm
积	tkw
血	tld
甶	tld
备	tlf
盉	tlf
笽	tlf
笚	tlj
徊	tlk
惫	tln
粤	tlo
箩	tlq
务	tlr
竻	tlr
衅	tlu
秃	tmb
役	tmc
身	tmd
笛	tmf
微	tmg
秞	tmg
㣙	tmg
币	tmh
屲	tmj
㟀	tmj
向	tmk
奥	tmo
秽	tmq
筫	tmu
凢	tmv
処	tmv
乞	tnb
筷	tnn
䄫	tnn
迄	tnp
秘	tnt
释	toc
釆	toi
番	tol
釉	tom
悉	ton
夈	tou
篓	tov
秋	toy
稼	tpe
管	tph
乏	tpu
稀	tqd
衔	tqf
称	tqi
移	tqq
黎	tqt
稳	tqv
箍	tra
牜	trd
特	trf
䄸	trg
御	trh
穆	tri
我	trn
物	trq
牺	trs
牧	trt
秩	trw
䇴	tsf
笨	tsg
徆	tsg
䄽	tsg
箱	tsh
㣔	tsh
条	tsu
笑	ttd
笔	ttf
竹	ttg
	ttg
禾	ttt
秝	tty
箭	tue
笠	tuf
乎	tuh
简	tuj
税	tuk
乊	tur
冬	tuu
乘	tux
很	tve
委	tvf
魏	tvr
笋	tvt
筏	twa
符	twf
答	twg
黍	twi
徐	twt
秂	twu
稚	twy
篆	txe
第	txh
系	txi
每	txy
篱	tyb
䇾	tyf
往	tyg
入	tyi
稿	tym
彷	tyt
䄱	tyt
疘	uad
瓶	uag
冮	uag
冻	uai
并	uaj
竎	uaj
迸	uap
瘩	uaw
䇅	uay
闻	ubd
兯	ubj
疗	ubk
疖	ubk
逆	ubt
痉	uca
闯	ucd
痛	uce
冯	ucg
㾺	uci
冶	uck
疤	ucv
竣	ucw
差	uda
郑	udb
闫	udd
㽽	udd
䦒	udd
豢	ude
减	udg
㓈	udg
䇉	udg
着	udh
头	udi
	udi
羊	udj
羞	udn
送	udp
⺶	udr
关	udu
券	udv
凑	udw
状	udy
疓	uee
疽	ueg
前	uej
痈	uek
毅	uem
遂	uep
豙	ueu
㒸	ueu
㽵	ufd
䦌	ufd
兰	uff
壮	ufg
竍	ufh
疛	ufi
斗	ufk
半	ufk
閈	ufk
闬	ufk
闭	uft
凌	ufw
装	ufy
闰	ugd
闩	ugd
靖	uge
⺷	ugf
症	ugh
痞	ugi
辣	ugk
盖	ugl
病	ugm
羔	ugo
羡	ugu
姜	ugv
疲	uhc
㾇	uhd
丫	uhk
䇂	uhk
疵	uhx
閖	uii
㽷	uii
阔	uit
冰	uiy
间	ujd
彰	uje
音	ujf
闽	uji
痋	uji
章	ujj
瘟	ujl
意	ujn
竟	ujq
赣	ujt
韶	ujv
部	ukb
问	ukd
咅	ukf
㖖	ukf
冲	ukh
剖	ukj
癌	ukk
总	ukn
况	ukq
兽	ulg
曾	ulj
闸	ulk
閳	ulk
㾝	ulk
疫	umc
㾄	umd
凋	umf
敝	umi
閴	umi
疝	umk
閊	umk
竌	umn
疯	umq
商	umw
翊	ung
闷	uni
乵	unn
䇃	unn
疡	unr
㽶	unv
决	unw
普	uog
焛	uoi
疢	uoi
痰	uoo
帝	upm
旁	upy
郊	uqb
奖	uqd
㾣	uqd
䦦	uqd
将	uqf
凎	uqg
浆	uqi
痪	uqm
桨	uqs
效	uqt
交	uqu
净	uqv
次	uqw
疚	uqy
瓣	urc
䦐	urk
閪	usd
尊	usg
㓅	ush
闲	usi
疔	usk
閅	usk
新	usr
亲	usu
疾	utd
产	ute
閁	ute
首	uth
痢	utj
阁	utk
疙	utn
疼	utu
閚	uud
闁	uud
竝	uug
辡	uuh
阐	uuj
阅	uuk
㾕	uuk
立	uuu
閰	uvd
痕	uve
妾	uvf
妆	uvg
瘦	uvh
兼	uvo
阀	uwa
疮	uwb
疹	uwe
痊	uwg
闪	uwi
疥	uwj
益	uwl
准	uwy
閄	uwy
背	uxe
弟	uxh
冀	uxl
北	uxn
辫	uxu
疕	uxv
兹	uxx
訚	uyd
誾	uyd
閍	uye
冫	uyg
门	uyh
闵	uyi
凛	uyl
闹	uym
阂	uyn
辨	uyt
丷	uyt
辩	uyu
瘁	uyw
媒	vaf
妅	vag
姬	vah
舁	vaj
毁	vam
㚤	vay
㜽	vbf
好	vbg
㛅	vbg
邚	vbh
她	vbn
既	vca
即	vcb
妈	vcg
始	vck
努	vcl
怒	vcn
妑	vcn
厹	vcu
奴	vcy
娠	vdf
姑	vdg
妬	vdg
㚑	vdu
垦	vef
姐	veg
艮	vei
退	vep
奶	vet
那	vfb
妓	vfc
娃	vff
奸	vfh
妹	vfi
卆	vfj
姥	vft
寻	vfu
嫩	vgk
姨	vgx
肀	vhk
隶	vii
肃	vij
逮	vip
妙	vit
录	viu
旭	vjd
旮	vjf
巢	vjs
邵	vkb
娟	vke
召	vkf
叴	vkf
如	vkg
恕	vkn
迢	vkp
絮	vkx
姻	vld
甾	vlf
舆	vlg
㚼	vlg
舅	vll
妯	vmg
奾	vmh
㞪	vmj
㛝	vmy
㐇	vnb
媚	vnh
妃	vnn
刀	vnt
鼠	vnu
㣽	vnu
妮	vnx
灵	vou
䊆	vou
嫁	vpe
辺	vpe
婶	vpj
帚	vpm
婉	vpq
巡	vpv
廵	vpv
婚	vqa
姚	vqi
娩	vqk
夛	vqu
妡	vrh
㛉	vsg
奵	vsh
杂	vsu
妖	vtd
尹	vte
妊	vtf
姓	vtg
媳	vth
群	vtk
九	vtn
娥	vtr
姀	vty
㛙	vuh
嫡	vum
嫉	vut
嫌	vuv
娜	vvf
㚣	vvf
妇	vvg
奻	vvg
嫂	vvh
女	vvv
臾	vwi
刅	vwi
姆	vxy
訄	vyd
娮	vyg
刃	vyi
丸	vyi
刄	vyi
妨	vyt
㚧	vyt
娘	vyv
妏	vyy
仝	waf
仜	wag
借	waj
贷	wam
供	waw
代	way
伐	way
仓	wbb
仔	wbg
佴	wbg
创	wbj
他	wbn
颂	wcd
瓮	wcg
㐷	wcg
翁	wcn
公	wcu
俊	wcw
仅	wcy
仏	wcy
傌	wcy
佐	wda
估	wdg
仨	wdg
佦	wdg
佰	wdj
佑	wdk
段	wdm
优	wdn
倚	wds
做	wdt
僚	wdu
傣	wdw
伏	wdy
㐲	wdy
俘	web
䏌	wef
仴	weg
佣	weh
㐱	wer
仍	wet
会	wfc
儒	wfd
侍	wff
仁	wfg
仕	wfg
什	wfh
仠	wfh
祭	wfi
仐	wfj
癷	wfj
舍	wfk
伟	wfn
佬	wft
付	wfy
倒	wgc
癸	wgd
傅	wge
全	wgf
亼	wgf
伍	wgg
仼	wgg
剑	wgi
便	wgj
合	wgk
僵	wgl
俩	wgm
例	wgq
侠	wgu
企	whf
仩	whg
个	whj
侦	whm
候	whn
修	wht
俱	whw
仆	why
俏	wie
倘	wim
偿	wip
氽	wiu
尒	wiu
仦	wiy
㲻	wiy
但	wjg
伸	wjh
介	wjj
偶	wjm
㕣	wkf
㐰	wkg
促	wkh
侣	wkk
保	wks
佃	wlg
伵	wlg
伡	wlh
俥	wlh
儡	wll
仂	wlt
佩	wmg
伷	wmg
仙	wmh
侧	wmj
仚	wmj
仉	wmn
催	wmw
倔	wnb
伺	wng
假	wnh
僻	wnk
亿	wnn
㐶	wnn
侯	wnt
亾	wnv
似	wny
伈	wny
伙	woy
侎	woy
飠	wpu
低	wqa
爷	wqb
尣	wqb
爸	wqc
釜	wqf
釡	wqf
你	wqi
像	wqk
侈	wqq
斧	wqr
父	wqu
㐴	wqy
㒶	wrf
伯	wrg
件	wrh
伒	wrh
㐿	wrh
傀	wrq
体	wsg
価	wsg
仃	wsh
何	wsk
傈	wss
休	wsy
叙	wtc
侨	wtd
任	wtf
亻	wth
俐	wtj
伤	wtl
途	wtp
俄	wtr
余	wtu
侮	wtx
八	wty
倦	wud
伴	wuf
位	wug
伞	wuh
倍	wuk
僧	wul
们	wun
傍	wup
仒	wuu
颁	wvd
健	wvf
㚢	wvg
盆	wvl
贫	wvm
仇	wvn
侵	wvp
倪	wvq
分	wvr
耸	wwb
坐	wwf
丛	wwg
价	wwj
谷	wwk
怂	wwn
仌	wwu
份	wwv
众	www
伦	wwx
从	wwy
仈	wwy
仑	wxb
倾	wxd
华	wxf
僶	wxg
佛	wxj
货	wxm
化	wxn
禽	wyb
令	wyc
依	wye
储	wyf
詧	wyf
信	wyg
隹	wyg
售	wyk
伪	wyl
焦	wyo
停	wyp
仪	wyq
集	wys
仿	wyt
亽	wyu
食	wyv
俯	wyw
伩	wyy
绒	xad
红	xag
练	xan
绕	xat
弭	xbg
䋙	xbg
䌺	xbg
鄳	xbh
弛	xbn
䊶	xbn
经	xca
缀	xcc
绎	xcf
弝	xcn
紦	xcn
弘	xcy
毋	xde
缄	xdg
顷	xdm
绑	xdt
紎	xdy
绷	xee
缓	xef
组	xeg
彖	xeu
绥	xev
级	xey
疆	xfg
㢨	xfh
结	xfk
贯	xfm
续	xfn
绪	xft
纣	xfy
纯	xgb
彑	xgd
㢧	xgd
缚	xge
弖	xgf
绩	xgm
彝	xgo
线	xgy
䊼	xhg
引	xhh
绰	xhj
纱	xit
糸	xiu
旨	xjf
绅	xjh
㔬	xjj
弗	xjk
费	xjm
缆	xjt
缉	xkb
绢	xke
紃	xkh
强	xkj
织	xkw
细	xlg
幼	xlt
糼	xlt
绸	xmf
紬	xmg
䌷	xmg
㢫	xmh
缨	xmm
纲	xmq
纳	xmw
弓	xng
䋚	xng
䌻	xng
纠	xnh
纪	xnn
幻	xnn
乣	xnn
糺	xnn
继	xon
缕	xov
粥	xox
䋛	xoy
综	xpf
绽	xpg
缩	xpw
纸	xqa
绝	xqc
䋮	xqg
弥	xqi
绚	xqj
约	xqy
弧	xrc
絈	xrg
紤	xrh
绵	xrm
缴	xry
絤	xsg
糽	xsh
䊾	xsy
张	xta
颖	xtd
乡	xte
纤	xtf
络	xtk
匕	xtn
绦	xts
终	xtu
缮	xud
绊	xuf
㢹	xuh
弹	xuj
缔	xup
绞	xuq
弱	xux
绿	xvi
绍	xvk
䊵	xvn
糿	xvt
㓜	xvt
纫	xvy
缎	xwd
绘	xwf
给	xwg
纷	xwv
纵	xww
纶	xwx
维	xwy
缘	xxe
毕	xxf
丝	xxg
比	xxn
弜	xxn
皆	xxr
统	xyc
