的	〔白勹丶-·-rqyy〕
饭	〔𠄌-·-qnrc〕
赶	〔土龰-·-fhfk〕
缩	〔亻日-·-xpwj〕
额	〔口贝-·-ptkm〕
孙	〔-·-biy〕
棉	〔白冂丨-·-srmh〕
鼓	〔口-·-fkuc〕
宽	〔-·-pamq〕
绿	〔-·-xviy〕
川	〔丨丨-·-kthh〕
夺	〔大寸-·-dfu〕
归	〔-·-jvg〕
灭	〔一-·-goi〕
煤	〔-·-oafs〕
宗	〔-·-pfiu〕
衡	〔大-·-tqdh〕
卷	〔大-·-udbb〕
盟	〔日-·-jelf〕
弱	〔-·-xuxu〕
竟	〔日-·-ujqb〕
镇	〔-·-qfhw〕
途	〔人辶-·-wtpi〕
厚	〔日-·-djbd〕
触	〔-·-qejy〕
措	〔日-·-rajg〕
藏	〔-·-adnt〕
玉	〔王丶-·-gyi〕
哈	〔口人一口-·-kwgk〕
零	〔人丶-·-fwyc〕
枪	〔人-·-swbn〕
灵	〔-·-vou〕
险	〔人一-·-bwgi〕
款	〔人-·-ffiw〕
召	〔口-·-vkf〕
遍	〔丶冂辶-·-ynmp〕
呀	〔口-·-kaht〕
敢	〔-·-nbty〕
恶	〔一一-·-gogn〕
借	〔亻日-·-wajg〕
歌	〔口人-·-sksw〕
脑	〔文-·-eybh〕
泽	〔丨-·-icfh〕
染	〔-·-ivsu〕
庭	〔-·-ytfp〕
唱	〔口日日-·-kjjg〕
训	〔-·-ykh〕
堂	〔口土-·-ipkf〕
域	〔土口-·-fakg〕
植	〔-·-sfhg〕
欧	〔人-·-aqqw〕
宪	〔土-·-ptfq〕
裂	〔一刂-·-gqje〕
努	〔女力-·-vclb〕
彻	〔-·-tavn〕
探	〔-·-rpws〕
沿	〔口-·-imkg〕
户	〔丶-·-yne〕
振	〔-·-rdfe〕
粒	〔米-·-oug〕
频	〔贝-·-hidm〕
督	〔⺊-·-hich〕
袁	〔土口-·-fkeu〕
垂	〔一-·-tgaf〕
纯	〔一-·-xgbn〕
纳	〔冂人-·-xmwy〕
折	〔-·-rrh〕
操	〔口口-·-rkks〕
暗	〔日日-·-jujg〕
耐	〔冂寸-·-dmjf〕
份	〔亻-·-wwvn〕
录	〔-·-viu〕
卖	〔大-·-fnud〕
退	〔辶-·-vepi〕
遇	〔日冂丨辶-·-jmhp〕
茶	〔人-·-awsu〕
润	〔门王-·-iugg〕
肉	〔冂人人-·-mwwi〕
康	〔-·-yvii〕
唯	〔口亻-·-kwyg〕
浓	〔-·-ipey〕
胞	〔勹-·-eqnn〕
符	〔亻寸-·-twfu〕
雪	〔-·-fvf〕
磁	〔-·-duxx〕
献	〔冂-·-fmud〕
船	〔口-·-temk〕
忙	〔-·-nynn〕
追	〔亻辶-·-wnnp〕
伊	〔亻-·-wvtt〕
税	〔禾口-·-tukq〕
私	〔禾厶-·-tcy〕
篇	〔丶-·-tyna〕
盘	〔-·-telf〕
夏	〔-·-dhtu〕
卡	〔⺊-·-hhu〕
盖	〔王-·-uglf〕
丁	〔一-·-sgh〕
季	〔禾-·-tbf〕
迎	〔辶-·-qbpk〕
予	〔-·-cbj〕
架	〔力口-·-lksu〕
阴	〔-·-beg〕
刀	〔-·-vnt〕
阵	〔-·-blh〕
瓦	〔一𠄌丶-·-gnyn〕
野	〔日土-·-jfcb〕
盛	〔-·-dnnl〕
氢	〔-·-rnca〕
削	〔⺝刂-·-iejh〕
伸	〔亻日丨-·-wjhh〕
索	〔-·-fpxi〕
旗	〔-·-ytaw〕
忽	〔勹-·-qrnu〕
访	〔-·-yyn〕
累	〔-·-lxiu〕
燃	〔-·-oqdo〕
虑	〔-·-hani〕
迹	〔辶-·-yopi〕
亦	〔-·-you〕
典	〔-·-mawu〕
晶	〔日日日-·-jjjf〕
雄	〔𠂇厶亻-·-dcwy〕
泛	〔-·-itpy〕
谋	〔-·-yafs〕
托	〔-·-rtan〕
透	〔禾辶-·-tepv〕
横	〔-·-samw〕
屋	〔一厶土-·-ngcf〕
朱	〔-·-rii〕
惊	〔-·-nyiy〕
奋	〔大-·-dlf〕
替	〔人日-·-fwfj〕
痛	〔-·-ucek〕
裁	〔-·-faye〕
抽	〔-·-rmg〕
楚	〔龰-·-ssnh〕
避	〔口辶-·-nkup〕
硬	〔一日-·-dgjq〕
寨	〔-·-pfjs〕
床	〔-·-ysi〕
旁	〔-·-upyb〕
遗	〔口丨一辶-·-khgp〕
弟	〔丨-·-uxht〕
洗	〔土-·-itfq〕
幅	〔冂丨一-·-mhgl〕
毒	〔一-·-gxgu〕
顿	〔一𠄌贝-·-gbnm〕
尚	〔冂口-·-imkf〕
塞	〔土-·-pfjf〕
暴	〔日-·-jawi〕
谢	〔寸-·-ytmf〕
宝	〔王丶-·-pgyu〕
圈	〔囗大-·-ludb〕
招	〔口-·-rvkg〕
彩	〔-·-eset〕
闻	〔门-·-ubd〕
胶	〔-·-euqy〕
残	〔一-·-gqgt〕
遭	〔一辶-·-gmap〕
爷	〔-·-wqbj〕
斜	〔人-·-wtuf〕
警	〔勹口-·-aqky〕
揭	〔日勹-·-rjqn〕
鱼	〔一-·-qgf〕
释	〔米丨-·-toch〕
倾	〔亻贝-·-wxdm〕
潮	〔-·-ifje〕
贯	〔贝-·-xfmu〕
偏	〔亻丶-·-wyna〕
摇	〔山-·-rerm〕
监	〔丶-·-jtyl〕
购	〔贝勹厶-·-mqcy〕
徐	〔人-·-twty〕
付	〔亻寸-·-wfy〕
灰	〔𠂇-·-dou〕
园	〔囗-·-lfqv〕
摆	〔土厶-·-rlfc〕
殊	〔一-·-gqri〕
蒸	〔-·-abio〕
碎	〔人-·-dywf〕
糖	〔米口-·-oyvk〕
词	〔一口-·-yngk〕
耗	〔-·-ditn〕
赞	〔土贝-·-tfqm〕
炮	〔勹-·-oqnn〕
吴	〔口一大-·-kgdu〕
愈	〔人一⺝-·-wgen〕
堆	〔土亻-·-fwyg〕
骨	〔⺝-·-mef〕
凯	〔山-·-mnmn〕
午	〔-·-tfj〕
桥	〔大-·-stdj〕
巨	〔-·-and〕
救	〔丶-·-fiyt〕
荣	〔-·-apsu〕
纷	〔-·-xwvn〕
秦	〔人禾-·-dwtu〕
订	〔-·-ysh〕
旋	〔龰-·-ytnh〕
割	〔丨刂-·-pdhj〕
侧	〔亻贝刂-·-wmjh〕
纤	〔-·-xtfh〕
凡	〔丶-·-myi〕
亡	〔-·-ynv〕
杆	〔-·-sfh〕
弦	〔-·-xyxy〕
馆	〔𠄌-·-qnpn〕
恩	〔囗大-·-ldnu〕
宋	〔-·-psu〕
妇	〔女-·-vvg〕
吹	〔口人-·-kqwy〕
男	〔力-·-llb〕
版	〔丨一-·-thgc〕
禁	〔-·-ssfi〕
繁	〔一-·-txgi〕
滑	〔⺝-·-imeg〕
败	〔贝-·-mty〕
捕	〔一⺝丶-·-rgey〕
择	〔丨-·-rcfh〕
唐	〔丨口-·-yvhk〕
播	〔米-·-rtol〕
爸	〔-·-wqcb〕
泥	〔-·-inxn〕
跳	〔口-·-khiq〕
君	〔口-·-vtkd〕
湾	〔-·-iyox〕
碳	〔山𠂇-·-dmdo〕
综	〔-·-xpfi〕
废	〔丶-·-ynty〕
庄	〔土-·-yfd〕
吨	〔口一-·-kgbn〕
库	〔-·-ylk〕
睛	〔⺝-·-hgeg〕
楼	〔米女-·-sovg〕
麻	〔-·-yssi〕
涉	〔-·-ihit〕
尺	〔-·-nyi〕
剥	〔刂-·-vijh〕
伙	〔亻-·-woy〕
麦	〔-·-gtu〕
坦	〔土日一-·-fjgg〕
嘴	〔口-·-khxe〕
鸡	〔勹丶一-·-cqyg〕
耳	〔一丨一-·-bghg〕
荷	〔亻口-·-awsk〕
赛	〔贝-·-pfjm〕
肥	〔-·-ecn〕
岸	〔山-·-mdfj〕
谷	〔人口-·-wwkf〕
扎	〔-·-rnn〕
铜	〔冂一口-·-qmgk〕
街	〔土土-·-tffh〕
店	〔口-·-yhkd〕
冬	〔-·-tuu〕
炉	〔丶-·-oynt〕
姑	〔女-·-vdg〕
恢	〔𠂇-·-ndoy〕
彪	〔-·-hame〕
惯	〔贝-·-nxfm〕
朗	〔丶-·-yvce〕
秀	〔禾-·-teb〕
勇	〔力-·-celb〕
驻	〔丶王-·-cygg〕
贺	〔力口贝-·-lkmu〕
肯	〔⺝-·-hef〕
舞	〔一丨-·-rlgh〕
蒙	〔一-·-apge〕
昌	〔日日-·-jjf〕
粗	〔米一-·-oegg〕
抵	〔丶-·-rqay〕
贸	〔丶贝-·-qyvm〕
亿	〔亻-·-wnn〕
俄	〔亻-·-wtrt〕
键	〔-·-qvfp〕
您	〔亻-·-wqin〕
旅	〔-·-ytey〕
登	〔一口-·-wgku〕
壁	〔口土-·-nkuf〕
乘	〔禾-·-tuxv〕
井	〔-·-fjk〕
闪	〔门人-·-uwi〕
湿	〔日一-·-ijog〕
缓	〔-·-xefc〕
洪	〔-·-iawy〕
秘	〔禾-·-tntt〕
芳	〔-·-ayb〕
汗	〔-·-ifh〕
闭	〔门-·-ufte〕
卜	〔丨丶-·-hhy〕
毕	〔-·-xxfj〕
莫	〔日大-·-ajdu〕
津	〔丨-·-ivfh〕
挂	〔土土-·-rffg〕
逃	〔辶-·-iqpv〕
磨	〔-·-yssd〕
蛋	〔龰-·-nhju〕
股	〔-·-emcy〕
黎	〔禾勹-·-tqti〕
塔	〔土人口-·-fawk〕
塑	〔土-·-ubtf〕
贡	〔贝-·-amu〕
港	〔-·-iawn〕
腐	〔亻寸人-·-ywfw〕
筑	〔丶-·-tamy〕
冰	〔-·-uiy〕
净	〔-·-uqvh〕
健	〔亻-·-wvfp〕
殖	〔一-·-gqfh〕
婚	〔女日-·-vqaj〕
奴	〔女-·-vcy〕
插	〔-·-rtfv〕
辩	〔-·-uyuh〕
纺	〔-·-xyn〕
刺	〔一冂刂-·-gmij〕
啦	〔口-·-krug〕
勒	〔力-·-afln〕
援	〔-·-refc〕
像	〔亻-·-wqje〕
仪	〔亻丶-·-wyqy〕
萨	〔-·-abut〕
徒	〔土龰-·-tfhy〕
弄	〔王-·-gaj〕
浪	〔丶-·-iyve〕
陷	〔-·-bqvg〕
汇	〔-·-ian〕
函	〔-·-bibk〕
休	〔亻-·-wsy〕
炼	〔-·-oanw〕
舍	〔人口-·-wfkf〕
坡	〔土-·-fhcy〕
岛	〔勹丶山-·-qynm〕
猪	〔土日-·-qtfj〕
郭	〔-·-ybbh〕
隔	〔一口丨-·-bgkh〕
氯	〔-·-rnvi〕
忘	〔-·-ynnu〕
尖	〔大-·-idu〕
伏	〔亻-·-wdy〕
浮	〔-·-iebg〕
虚	〔一-·-haog〕
朋	〔-·-eeg〕
授	〔-·-repc〕
玻	〔王-·-ghcy〕
睡	〔一-·-htgf〕
障	〔-·-bujh〕
辛	〔丶一丨-·-uygh〕
碱	〔一-·-ddgt〕
贫	〔贝-·-wvmu〕
岩	〔山-·-mdf〕
泪	〔-·-ihg〕
臣	〔丨丨-·-ahnh〕
疑	〔大龰-·-xtdh〕
滚	〔厶-·-iuce〕
壮	〔-·-ufg〕
梁	〔-·-ivws〕
荡	〔-·-ainr〕
启	〔丶口-·-ynkd〕
瑞	〔王山-·-gmdj〕
穷	〔力-·-pwlb〕
甘	〔-·-afd〕
箱	〔-·-tshf〕
童	〔日土-·-ujff〕
淡	〔-·-iooy〕
峰	〔山丨-·-mtdh〕
纲	〔冂-·-xmqy〕
牙	〔-·-ahte〕
怪	〔土-·-ncfg〕
佛	〔亻-·-wxjh〕
脂	〔日-·-exjg〕
炸	〔丨-·-othf〕
幸	〔土-·-fufj〕
截	〔亻-·-fawy〕
牧	〔-·-trty〕
售	〔亻口-·-wykf〕
蓝	〔-·-ajtl〕
镜	〔日-·-qujq〕
震	〔-·-fdfe〕
罢	〔土厶-·-lfcu〕
锅	〔口冂人-·-qkmw〕
绕	〔-·-xatq〕
软	〔人-·-lqwy〕
拥	〔-·-reh〕
尊	〔一寸-·-usgf〕
豆	〔一口-·-gkuf〕
礼	〔丶-·-pynn〕
剩	〔禾刂-·-tuxj〕
擦	〔-·-rpwi〕
耕	〔-·-difj〕
颜	〔贝-·-utem〕
泰	〔人-·-dwiu〕
菌	〔囗禾-·-altu〕
绩	〔贝-·-xgmy〕
勤	〔口力-·-akgl〕
竹	〔一-·-ttgh〕
拖	〔也-·-rtbn〕
尤	〔-·-dnv〕
伍	〔亻五-·-wgg〕
匀	〔勹-·-qud〕
锋	〔丨-·-qtdh〕
爆	〔日-·-ojai〕
刊	〔刂-·-fjh〕
姓	〔女-·-vtgg〕
仿	〔亻-·-wyn〕
尾	〔-·-ntfn〕
脉	〔丶-·-eyni〕
违	〔丨辶-·-fnhp〕
欲	〔人口人-·-wwkw〕
筒	〔冂一口-·-tmgk〕
洞	〔冂一口-·-imgk〕
璃	〔王文厶-·-gybc〕
墨	〔土土-·-lfof〕
默	〔土-·-lfod〕
邦	〔-·-dtbh〕
稍	〔禾⺝-·-tieg〕
丽	〔一冂丶丶-·-gmyy〕
珠	〔王-·-griy〕
梅	〔-·-stxu〕
喝	〔口日勹-·-kjqn〕
币	〔冂丨-·-tmhk〕
窗	〔-·-pwtq〕
氏	〔-·-qav〕
潜	〔人日-·-ifwj〕
抱	〔勹-·-rqnn〕
森	〔-·-sssu〕
袖	〔-·-pumg〕
喊	〔口一-·-kdgt〕
毁	〔-·-vamc〕
艰	〔-·-cvey〕
挑	〔-·-riqn〕
焦	〔亻-·-wyou〕
灾	〔-·-pou〕
泡	〔勹-·-iqnn〕
摩	〔-·-yssr〕
夹	〔一人-·-guwi〕
枝	〔-·-sfcy〕
埃	〔土厶大-·-fctd〕
呈	〔口王-·-kgf〕
咱	〔口-·-kthg〕
描	〔-·-ralg〕
池	〔也-·-ibn〕
姐	〔女一-·-vegg〕
寒	〔-·-pfju〕
宫	〔口口-·-pkkf〕
戴	〔-·-falw〕
赤	〔土-·-fou〕
腰	〔覀女-·-esvg〕
寸	〔寸一丶-·-fghy〕
敬	〔勹口-·-aqkt〕
懂	〔土-·-natf〕
忆	〔-·-nnn〕
洁	〔口-·-ifkg〕
丹	〔-·-myd〕
渡	〔-·-iyac〕
跃	〔口大-·-khtd〕
贝	〔贝丨丶-·-mhny〕
碰	〔一-·-duog〕
凝	〔龰-·-uxth〕
诸	〔土日-·-yftj〕
励	〔力-·-ddnl〕
幕	〔日大丨-·-ajdh〕
柱	〔丶王-·-sygg〕
奖	〔大-·-uqdu〕
缘	〔-·-xxey〕
奶	〔女-·-ven〕
智	〔大口日-·-tdkj〕
污	〔-·-ifnn〕
奔	〔大-·-dfaj〕
扫	〔-·-rvg〕
隶	〔-·-vii〕
网	〔冂-·-mqqi〕
饱	〔𠄌勹-·-qnqn〕
魏	〔禾女白厶-·-tvrc〕
肃	〔-·-vijk〕
轨	〔-·-lvn〕
虎	〔-·-hamv〕
杜	〔土-·-sfg〕
隐	〔-·-bqvn〕
兄	〔口-·-kqb〕
廷	〔-·-tfpd〕
鉴	〔丶-·-jtyq〕
寻	〔寸-·-vfu〕
袋	〔亻-·-waye〕
申	〔日丨-·-jhk〕
隆	〔一-·-btgg〕
诚	〔-·-ydnt〕
遵	〔一辶-·-usgp〕
票	〔覀-·-sfiu〕
梦	〔-·-ssqu〕
哲	〔口-·-rrkf〕
纱	〔-·-xitt〕
亩	〔-·-ylf〕
猛	〔-·-qtbl〕
兼	〔-·-uvou〕
埔	〔土一⺝丶-·-fgey〕
珍	〔王人-·-gwet〕
抢	〔人-·-rwbn〕
趣	〔土龰-·-fhbc〕
厘	〔日土-·-djfd〕
允	〔厶-·-cqb〕
博	〔一⺝寸-·-fgef〕
鬼	〔白厶-·-rqci〕
荒	〔-·-aynq〕
铺	〔一⺝丶-·-qgey〕
伦	〔亻人-·-wwxn〕
汤	〔-·-inrt〕
恰	〔人一口-·-nwgk〕
拔	〔-·-rdcy〕
恐	〔丶-·-amyn〕
弯	〔-·-yoxb〕
晓	〔日-·-jatq〕
圣	〔土-·-cff〕
颗	〔日贝-·-jsdm〕
奏	〔人一大-·-dwgd〕
妹	〔女-·-vfiy〕
忠	〔口丨-·-khnu〕
循	〔-·-trfh〕
沟	〔勹厶-·-iqcy〕
航	〔-·-teym〕
柴	〔-·-hxsu〕
碍	〔日一寸-·-djgf〕
舟	〔-·-tei〕
寄	〔大口-·-pdsk〕
钻	〔口-·-qhkg〕
抬	〔厶口-·-rckg〕
郑	〔大-·-udbh〕
稀	〔禾𠂇丨-·-tqdh〕
页	〔贝-·-dmu〕
喷	〔口贝-·-kfam〕
摸	〔日大-·-rajd〕
炭	〔山𠂇-·-mdou〕
巧	〔一-·-agnn〕
柯	〔口-·-sskg〕
贴	〔贝口-·-mhkg〕
桌	〔日-·-hjsu〕
劲	〔力-·-caln〕
腾	〔大-·-eudc〕
妻	〔一丨女-·-gvhv〕
铸	〔寸-·-qdtf〕
锐	〔口-·-qukq〕
陶	〔勹山-·-bqrm〕
弃	〔厶-·-ycaj〕
赫	〔土土-·-fofo〕
乏	〔-·-tpi〕
阔	〔门-·-uitd〕
紫	〔-·-hxxi〕
牌	〔丨一-·-thgf〕
挤	〔文-·-ryjh〕
迷	〔米辶-·-opi〕
闹	〔门冂丨-·-uymh〕
罚	〔刂-·-lyjj〕
拍	〔白-·-rrg〕
码	〔-·-dcg〕
偶	〔亻日冂丶-·-wjmy〕
祥	〔丶-·-pyud〕
届	〔-·-nmd〕
邻	〔人丶-·-wycb〕
暂	〔日-·-lrjf〕
膜	〔日大-·-eajd〕
乌	〔勹一-·-qngd〕
磷	〔米丨-·-doqh〕
胆	〔日一-·-ejgg〕
撤	〔厶-·-ryct〕
戏	〔-·-cat〕
辉	〔-·-iqpl〕
讯	〔-·-ynfh〕
仁	〔亻-·-wfg〕
巩	〔丶-·-amyy〕
碧	〔王白-·-grdf〕
瓜	〔-·-rcyi〕
忍	〔丶-·-vynu〕
签	〔人一-·-twgi〕
邓	〔-·-cbh〕
吉	〔口-·-fkf〕
